домен	база	ua_шлях	стать_типово	стан	канал	хвилин	нотатка
yulashop.com.ua	https://yulashop.com.ua		жіноче	увімкнено	списки	6	0 речей у 2 повних прогонах — остання спроба зі списками; Хорошоп; хвіст «| YULA … фото» у назвах
giardini-shoes.com	https://giardini-shoes.com		невідомо	увімкнено	списки	6	0 речей у 2 повних прогонах — остання спроба зі списками; Хорошоп; взуття
otaje.com	https://otaje.com		жіноче	увімкнено	списки	10	мало речей у попередніх прогонах; headless, REST на api.otaje.com (v2); HEX у картці; латинські імена моделей — колір не
provenceshop.com.ua	https://provenceshop.com.ua	/ua	жіноче	увімкнено	списки	10	мало речей у попередніх прогонах
ricamare.com.ua	https://ricamare.com.ua		жіноче	увімкнено	списки	6	0 речей у 2 повних прогонах — остання спроба зі списками; Хорошоп
sezone.ua	https://sezone.ua		невідомо	увімкнено	списки	6	0 речей у 2 повних прогонах — остання спроба зі списками; Хорошоп
# ── решта з 66 (у каталозі 27.08 не було або провалились) ──
devari.com.ua	https://devari.com.ua		жіноче	увімкнено	списки	6	0 речей у 2 повних прогонах — остання спроба зі списками; провалився 25.08 — причина не встановлена
vmma.com.ua	https://vmma.com.ua		жіноче	увімкнено	списки	6	0 речей у 2 повних прогонах — остання спроба зі списками; є також на vsisvoi
cooshwear.com	https://cooshwear.com		жіноче	увімкнено	списки	10	мало речей у попередніх прогонах; дуже повільний сервер (206 с/запит); провалився 25.08
andretan.ua	https://andretan.ua		жіноче	увімкнено	списки	30	
yakfaino.com	https://yakfaino.com		невідомо	увімкнено	списки	20	вишиванки, є чоловіче
friendsoffashion.com.ua	https://friendsoffashion.com.ua		жіноче	увімкнено	списки	6	0 речей у 2 повних прогонах — остання спроба зі списками; провалився 25.08
skripka.com.ua	https://skripka.com.ua		жіноче	вимкнено		0	заблоковано з дата-центру; потрібен домашній IP; Cloudflare «Just a moment» крізь проксі (П16) — з сервера перевірити ще
nyni.shop	https://nyni.shop	/uk	жіноче	увімкнено	shopify	30	Shopify; склад у картці є
natali-style.com.ua	https://natali-style.com.ua		жіноче	увімкнено	списки	6	0 речей у 2 повних прогонах — остання спроба зі списками
theoriginals.com.ua	https://theoriginals.com.ua	/ua	невідомо	вимкнено		0	заблоковано з дата-центру; потрібен домашній IP; мультибренд; Cloudflare-блоки 27.08 (П16)
ager.ua	https://ager.ua		невідомо	увімкнено	списки	30	є чоловіча лінія; ФІД РОСІЙСЬКИЙ (23.08, «ніколи знову») — лише картки UA, гейт П9 вирішує
virna.ua	https://virna.ua		жіноче	увімкнено	списки	6	0 речей у 2 повних прогонах — остання спроба зі списками; самопис; фіда нема — лише картки
maryline.ua	https://maryline.ua		жіноче	увімкнено	списки	6	0 речей у 2 повних прогонах — остання спроба зі списками; дуже повільний сервер (137 с/запит); з v2
# ── міжнародні мережі: каталог не віддають нікому (П16, 8/8 провалились 25.08) ──
zara.com	https://www.zara.com/ua/uk/	/ua/uk	невідомо	вимкнено			партнерська мережа, потрібна реєстрація людиною
reserved.com	https://www.reserved.com/ua/uk/	/ua/uk	невідомо	вимкнено			партнерська мережа
shop.mango.com	https://shop.mango.com/ua/uk/	/ua/uk	невідомо	вимкнено			партнерська мережа
next.ua	https://www.next.ua/uk	/uk	невідомо	вимкнено			партнерська мережа
mohito.com	https://www.mohito.com/ua/uk/	/ua/uk	невідомо	вимкнено			партнерська мережа
modivo.ua	https://modivo.ua		невідомо	вимкнено			партнерська мережа
wittchen.ua	https://www.wittchen.ua		невідомо	вимкнено			партнерська мережа
answear.ua	https://answear.ua		невідомо	вимкнено			лістинг без URL речей; партнерська мережа
# ── КАНДИДАТИ НА ЧОЛОВІЧЕ (04.09.2026): домени з пам'яті, не перевірені — перший прогін скаже ──
arber.ua	https://arber.ua		чоловіче	увімкнено	списки	6	0 речей у 2 повних прогонах — остання спроба зі списками; кандидат: укр. чоловічий бренд (костюми, кежуал); домен не пер
voronin.ua	https://voronin.ua		чоловіче	увімкнено	списки	6	0 речей у 2 повних прогонах — остання спроба зі списками; кандидат: чоловічі костюми; домен не перевірено
staff-clothes.com	https://staff-clothes.com		унісекс	вимкнено		0	заблоковано з дата-центру; потрібен домашній IP; кандидат: унісекс streetwear; домен не перевірено
bezet.com.ua	https://bezet.com.ua		унісекс	увімкнено	списки	10	мало речей у попередніх прогонах; дуже повільний сервер (758 с/запит); кандидат: унісекс streetwear; домен не перевірено
